rank,player,team,goals,assists,points
468,Ryan Mazariegos,North Brunswick,0,1,1
469,Schnaider Alizar,Highland Park,0,1,1
470,Sean Manopo,Metuchen,0,1,1
471,Stephen Zhang,Highland Park,0,1,1
472,Vishnu Cheedella,Woodbridge Magnet,0,1,1
473,William Tal,North Brunswick,0,1,1
474,Xavier Cardoso,Colonia,0,1,1
475,Xavier Rodriguez,Carteret,0,1,1
476,Yohan Deshpande,Monroe,0,1,1
477,Yovany Franco,New Brunswick,0,1,1
